,bak,en
2486,"Зөбәржәт ҡарсыҡ уҫал булды, килененә көн бирмәне.",The old Zubarjat was evil (and) made life impossible for her daughter-in-law (=never left her daughter-in-law in peace)
2487,"Тышта ел өрә, ҡарҙы һеперә, // Мин өйҙә торам һалҡынға күрә.","Outside, the wind is blowing (and) sweeping the snow, I am staying at home because of the cool weather.|q=[[:w:Mustai Karim|Mustai Karim]]"
2488,Ринат Себерҙә вахта ысулы менән эшләй.,Rinat works in Siberia on a rotation basis.
2489,Боронғо Мысыр.,Ancient Egypt.
2490,Гәрәбә эсендә һаҡланып ҡалған бороңғо бөжәктәрҙе өйрәнеү.,The study of ancient insects preserved within amber.
2491,"Күрше йомошҡа инһә, сәйнүгеңде эҫет.","If a neighbor comes in for a purpose, heat up your teapot (and offer tea)."
2492,"Һеҙҙең «эйе» тигән һүҙегеҙ – «эйе», «юҡ» тигәнегеҙ «юҡ» булһын. Шунан артығы – Иблистән.","Let your ""yes"" be ""yes"", ""no"" be ""no"". Anything more than this comes from the devil.|q=Matthew 5:37.|ref=https://www.bible.com/bible/1929/MAT.5.37.BSKNT14"
2493,Инә ҡуңыҙ ике йөҙҙән ашыу йомортҡа һала.,The female beetle lays over two hundred eggs.
2495,Ул ваҡытта Александрия үҙенең 700 меңдән ашыу ҡулъяҙма йыйылған китапханаһы менән дан тота.,"At that time, Alexandria was famous for its library, in which over 700,000 manuscripts were collected."
2496,Алйот дуҫтан аҡыллы дошман артыҡ.,An intelligent enemy is better than a stupid friend.
2497,"Һүҙ тыңламаҫ улыңдан һыйҙаш булһа, сит артыҡ.",An outsider who shares your meal is better than your son who wouldnt listen to (your) word.
2498,Юра осоро.,Jurassic period.
2499,Йылҡысылыҡ менән умартасылыҡ Башҡортостандың ауыл хужалығына үҙенсәлек бирә.,Horse breeding and bee farming give a distinctive character to Bashkortostans agriculture.
2500,Холоҡ үҙенсәлеге.,(a persons) character trait.
2504,Тормош ағышының бөгөн көтмәгәндә үҙгәреүе ихтимал.,"Today, the flow of life may change unexpectedly."
2505,"Көтмәгәндә ҡайтып инеп, үҙегеҙҙе йоҡлап ятҡан килеш күреп ҡалмаһын!",Lest he return unexpectedly and find you sleeping.|q=Mark 13:36
2506,Ваҡиғалар ағышы.,Course of events.
2507,Фекер ағышы.,Flow of thoughts.
2508,Тормош ағышының бөгөн көтмәгәндә үҙгәреүе ихтимал.,"Today, the flow of life may change unexpectedly."
2509,"Балалар был уйынды яҙ көндәре, ҡаҙҙар бәпкәләрен сығарғас, уларҙы көткән саҡта уйнағандар.","Children used to play this game in the spring, after geese hatched their goslings, while while pasturing these (goslings)."
2510,"Был – кимәктәргә яҡын төрк ҡәбиләһе, хатта кимәктәрҙең бер тармағы итеп күрһәтелә.","This is a Turkic tribe close to [[:w:Kimek tribe|Kimaks]], (it is) even indicated as a branch of Kimaks."
2511,Беҙ буш вәғәҙә бирмәйбеҙ.,We do not give empty promises.
2512,"Мин хәҙерге президент өсөн ике тапҡыр тауыш бирҙем, ул иһә бер генә вәғәҙәһен дә үтәмәне.","I have voted twice for the current president, but he has not fulfilled even a single promise of his."
2513,Аҡ ҡан күҙәнәктәре.,White blood cells.
2514,Липидтар күҙәнәк мембранаһын төҙөйҙәр.,Lipids make up cell membranes.
2515,Күҙәнәктәрҙең төҙөлөшөн һәм йәшәүен цитология тигән фән өйрәнә.,The structure and life activities of cells are studied by the science called cytology.
2516,Бал ҡорттары күҙәнәктәрҙе өс төрлө яһай.,Honey bees make three types of honeycombs.
2517,Кила ярым он.,A kilo and a half of flour.
2518,"""Ясин"" сүрәһенең тәүге 12 аяты.","The first 12 ayats of the ""[[:w:Ya Sin|Ya Sin]]"" sura."
2519,"""Ясин"" сүрәһенең тәүге 12 аяты.","The first 12 ayats of the ""[[:w:Ya Sin|Ya Sin]]"" sura."
2520,"Ҡатын бер ҡайҙа ла эшләмәй, ире елкәһендә йәшәй.",The woman does not work anywhere (and) lives off her husband.
2521,Был ерҙә генә осраған һәм башҡа бер ҡайҙа ла үҫмәгән үҫемлектәр бар.,There are plants that only occur at this place and do not grow anywhere else.
2522,Бынан һуң ҡарт ауылынан бер ҡайҙа ла китмәгән.,"After this, the old man did leave his village for anywhere."
2523,"Аҡ өкөнөң себештәре көнөнә берешәр моронлай, шуға күрә бер оялағы ҡошсоҡтар төрлө буйлы була, кеселәре йыш ҡына үлеп ҡала.","Snowy owls chicks hatch one a day, therefore the young birds in one nest have different statures, those younger often die."
2524,Украинаға хакер һөжүмдәре.,Hacker attacks on Ukraine.
2525,Үрмәксенең был төрө Урта Азияла һәм Рәсәйҙең көньяғында таралған.,This type of spider is common in Central Asia and in the south of Russia.
2526,Күп нәмәнең ҡәҙеренә юғалтҡас ҡына төшөнәбеҙ бит.,We get to understand the value of many things only after losing (them).
2527,Һарымһаҡ төнәтмәһе склероздан һәм баш шаулауҙан яҡшы сара булып һанала.,Garlic infusion is considered to be a good remedy for senile memory loss and tinnitus.
2528,Һарымһаҡ төнәтмәһе склероздан һәм баш шаулауҙан яҡшы сара булып һанала.,Garlic infusion is considered to be a good remedy for senile memory loss and tinnitus.
2529,Соланда бер биҙрә һөт тора.,There is a bucket of milk in the anteroom.
2530,"Әгәр ҙә мин яҙған кеше үҙен таныһа, оялыр тип уйлайым.","If the person I wrote (about) recognizes himself/herself, I think s/he will be ashamed."
2531,Бойондороҡһоҙ Дәүләттәр Берләшмәһе.,The Commonwealth of Independent States.
2532,"Һеҙ, һис шикһеҙ, тамуҡ ялҡынын күрәсәкһегеҙ.","Beyond any doubt, you will see the flame of hell."
2533,Кесе осҡондан да оло ялҡын тоҡана.,"Even from a small sparkle, big fire breaks out."
2534,Башҡорт телендә баҫым күпселек осраҡтарҙа аҙаҡҡы ижеккә төшә.,"In the Bashkir language, the stress in most cases falls on the last syllable."
2535,Төрөкмәнстандың күпселек майҙанын Ҡараҡом сүле алып тора.,Most of Turkmenistans territory is taken up by the Karakum desert.
2536,Соланда бер биҙрә һөт тора.,There is a bucket of milk in the anteroom.
2537,"Ҡатыны тураһында үҙенән һорап ҡуймағыҙ, ул уны бер йыл элек юл фажиғәһендә юғалтҡан.",Dont ask him about his wife – he lost her one year ago in a traffic accident.
2538,"Шаршау асылмаҫ элек сәхнәгә Актёр сыға, ҡулында телефон.","Before the curtain opens, the Actor goes on stage, (with) a telephone in his hand."
2539,Элек бында ҙур ауыл булған.,There used to be a large village here.
2540,Элек ҡулыңды йыу.,First wash your hands.
2541,Ғаилә башлығы.,Head of family.
2542,"Ҡайһы ваҡытта етәксегә принципиаль, талапсан да булырға тура килә.",At times the manager has to be principled and exacting.
2543,"Сүллектәге һауа дымлылығы бик түбән булғанға, ул ҡояш радияцияһынан һаҡламай.","As air humidity is very low in the desert, it does not protect from solar radiation."
2544,Алыҫ Ҡырғыҙстандан килгән Гөлназ университеттан һуң тыуған яғына ҡайтырға ниәтләй.,"Gulnaz, who has come from the remote Kyrgyzstan, plans to return to her home place after the university."
2545,"Ысынбарлыҡтың бөтөн осраҡлы айырымлыҡтарын байҡап үтеү мөмкин булмағанлыҡтан, философтар үҙ иғтибарын төп сәбәптәргә йүнәлтә, ысынбарлыҡтың иң ғөмүми ҡанундарын өйрәнә.","Since it is impossible to review all incidental distinctnesses of (=existing in) reality, philosophers direct their attention to fundamental reasons, (and) study the most general laws of reality."
2546,Осраҡлы һан.,A random number.
2547,"Һеҙ хазинаны күктә йыйығыҙ: унда көйә лә ҡырҡмай, тут та баҫмай, ҡараҡтар ҙа инеп урламай.","Collect treasure in the sky: there, moth does not corrupt, rust does not corrupt, and thieves do not enter and steal.|q=Matthew 6:19"
2548,Тары бөртөгө.,A grain of millet.
2549,Ҡом бөртөгө.,A grain of sand.
2550,Алтын бөртөгө.,Gold grain.
2551,Ҡар бөртөгө.,A flake of snow.
2552,Мәргәндең һаҙағында ике бөртөк кенə уҡ ҡалған ти.,"In the sharp-shooters quiver, there remained only two arrows."
2553,Ҡауаҡҡа ҡаршы шампунь.,Shampoo against dandruff.
2554,Балсыҡ көрәккә йәбешә.,Clay sticks to the shovel.
2555,Был һорауға түрә тотҡарлыҡһыҙ яуап бирә алманы.,The state officer was not able to give an immediate answer to this question.
2556,"Ҡыш ҡарһыҙ булғанға ер туң, һыу ергә һеңә алмай, шуға йылғалар таша.","Because the winter has been without snow, soil is frozen, water cannot get absorbed into soil, this is why rivers flood."
2557,"Әллә ямғыр, әллә ҡар яуа.","It is maybe raining or snowing (I dont know, it is difficult to say, it is not immediately clear)."
2558,"Донъяны көнбайышлаштырыуға алмаш бармы, әллә беҙгә манҡорт булырға яҙғанмы?","Is there an alternative to the westernization of the world, or are we destined to become mankurts (people deprived of their ethnic identities)?"
2559,Әллә кем,Somebody.
2560,Әллә ҡайҙа,Somewhere.
2561,Борон-борон заманда йәшәгән ти ҡарт менән ҡарсыҡ.,Once upon a time there lived an old man with an old woman.
2562,Был көй ғәҙәттә ирҙәр бейегәндә уйнала.,This tune is usually played when men dance.
2563,"Урам буйында көнбағыш сиртеп йөрөгән кешеләрҙе, ғәҙәттә, бик яратып етмәйҙәр.",People who walk around streets eating sunflower seeds are typically not liked too much.
2564,Гәзит өсөн мәҡәлә яҙғанда мин ғәҙәттә хәл-ваҡиғаға уҡыусыһы күҙлегенән бағам.,"When writing an article for a newspaper, I usually look at events from the readers viewpoint."
2565,"Байрам һуңында һаламдан, сепрәк-сапраҡтан эшләнгән ҡарасҡыны яндырып, ҡышты оҙаттылар.","At the end of the festivity, they burned an effigy made of straw and rags to bid the winter farewell."
2566,"Бураны күтәреп, башын япҡас, бүрәнә ярыҡтарына мүк тултыралар.","After the carcass of log house is completed (up to its intended height) and roofed, the slits between logs are filled with moss."
2567,Яр буйында дежурҙа торған ҡотҡарыусыларға ишкәктәрен һыуға сылатырға тура килмәне.,The lifeguards who were standing on duty on the shore did not have to wet their oars.
2568,Ниндәй ҙә булһа тарихи ваҡиға йәки шәхес тураһындағы яҙма риүәйәт.,A written legend about some historical event or person.
2569,Мендәр тышы.,Pillow case.
2570,Исем-фамилияғыҙҙы дәфтәрҙең тышына баҫма хәрефтәр менән яҙып ҡуйығыҙ.,Write your given and family name on the cover of the work book in block letters.
2571,Хаттың тышында адресын күреү менән атайымдың ҡулын таныным.,"As soon as I saw the address on the envelope of the letter, I recognized my fathers handwriting."
2573,Ғәҙәттән тыш хәл.,Emergency situation.
2574,"Әсә күңеле — балала, бала күңеле — далала.","The mothers soul is in (her) child, the childs soul is in the steppe."
2575,Әсәм теле миңә — сәсән теле.,My mothers tongue to me is bards language.|q=[[:w:Rami Garipov|Rami Garipov]]
2576,"Әсәһе үлгәс, атаһы өйгә үгәй әсә алып ҡайтҡан.","When her mother died, her father brought home a stepmother."
2577,Ниндәй ҙә булһа тарихи ваҡиға йәки шәхес тураһындағы яҙма риүәйәт.,A written legend about some historical event or person.
2578,Шәхес культы.,Personality cult.
2579,"Беренсенән, Өфө алыҫ түгел, икенсенән, һеҙҙә тәбиғәт матур, ул ял индустрияһын үҫтереү өсөн мөмкинлек бирә.","Firstly, Ufa is not far, secondly, the nature is beautiful at your place, it gives an opportunity to develop the recreation industry."
2580,"Һәр Интернет ҡулланыусыһы Википедияға — мәҫәлән, яңы мәҡәлә яҙып йәки булғандарын төҙәтеп — үҙ өлөшөн индерә ала.","Every Internet user can make their contribution to Wikipedia — for example, by writing a new article or by editing the existing ones."
2582,"Батыр яуҙан ҡайтмаһа, даны ҡайтыр иленә.","If a hero does not return from war, his good name will return to his homeland."
2583,Яу ҡыры.,The field of battle.
2584,Дәғүә ғаризаһы.|tr=Däğwä ğarizahï.,Notification of claim.
2585,Өфө ҡалаһы судында башына ҡар төшөп йәрәхәтләнгән ҡатындың дәғүәһе ҡаралды.|tr=Öfö qalahï sudïnda bašïna qar töšöp yäräxätlängän qatïndïñ däğwähe qaraldï.,"In Ufa city court, a claim was examined of a woman who had been injured by snow falling (off a roof) on her ."
2586,Иң ҡатмарлы тел – Дағстандағы табасаран теле.,The most complicated language is the Tabasaran language in Dagestan.
2587,Көн оҙонлоғо.,Length of day.
2588,Тормошта һәр кем үҙенең ишен осрата.,Everybody meets their match in their life.
2589,"Был донъяға һәр кем үҙ яҙмышы, үҙ тәҡдире менән тыуа.",Everybody is born to this world with their own fate (and) their own predestination.
2590,Википедиялағы һымаҡ һәр кем үҙ өлөшөн индерә ала.,"Like in Wikipedia, everyone can contribute."
2591,"Үҙендә камил аҡыл булһа ла, ир һәр кемдән аҡыл һорар.","A man will ask for advice from everybody, even if his own mind is perfect."
2592,"Был һыуҙы эскән һәр кем йәнә һыуһар, ә Мин биргән һыуҙы эскән кеше бер ҡасан да һыуһамаҫ.","Everyone who drinks this water will again get thirsty, but the person who drinks the water I give will never get thirsty.|q=John 4:13-14."
2593,Аныҡтың өгөтө иҫереккә кермәй.,A sobers admonition gets lost on a drunk.
2594,"Лут пәйғәмбәрҙең өгөттәренә иғтибар итмәйенсә, улар зина ҡылыуҙарын дауам иттеләр.","They did not pay attention to [[:w:Lot in Islam|Lot]] the prophets admonitions, (and) continued with their fornications.|q=From a [[tafsir]] to Quran 7:84."
2595,Биш минут ҡына ваҡытым бар.,I have only five minutes of time.
2596,Ни бары интернет һәм бер-ике сәғәт буш ваҡыт ҡына кәрәк.,"(For that, you) need only (access to) the Internet and just a couple of hours of spare time."
2597,Күп нәмәнең ҡәҙеренә юғалтҡас ҡына төшөнәбеҙ бит.,We get to understand the value of many things only after losing (them).
2598,"Батыр йәнтөйәгенә ярты быуаттан ҡайтты, тик һәйкәл булып ҡына.",The hero returned to his home place after half a century - but only as a sculpture.
2599,"Район идаралығы алмашынғас ҡына, кесе эшҡыуарлыҡ проблемалары ниһайәт иғтибар үҙәгенә килеп баҫты.",(It was) only when the district management changed (that) the problems of micro-entrepreneurship finally came into the center of attention (=into the spotlight).
2600,"Беҙ, уҡытыусылар, йыш ҡына уҡыусыларыбыҙға: “Көндәлек — һеҙҙең йөҙөгөҙ”, тип әйтергә яратабыҙ.","We, teachers, quite often like to tell our students: (your) report card is your face""."
2601,"Кәртәгә тотоноп, ҡарт оҙаҡ ҡына ауыл урамына ҡарап торҙо.","The old man stood for quite a long time, holding on a fence and looking at the village street."
2602,Мысыр аҡһөйәктәре ысынлап та Сараның сибәрлеген фирғәүенгә еткерәләр.,"Egypts noblement, indeed, inform the pharaoh about Sarahs beauty."
2603,60-сы йылдарҙың аҙағында йәш башҡорт яҙыусыларына ҡарата идеологик баҫым ысынлап та көсәйә төштө.,"At the end of the 1960s, the ideological pressure on young Bashkir writers has indeed intensified."
2604,"Ысынлап та, классик булып танылған яҙыусыларҙың көндәлектәре генә киң уҡыусы өсөн баҫылып сыға.","Indeed, only the diaries of writers who are considered classical, get published for the general reader."
2605,"Ысынлап та, Туфан һыуы тартылғас, Нух кәмәһен ҡайҙа килтереп терәй икән?","As a matter of fact, where did Noah land his boat (=ark) when the Deluge waters subsided?"
2606,Һулаҡай баланы уң ҡулға өйрәтергә тырышмағыҙ.,Do not try to teach a left-handed child to the right hand.
2607,Беҙҙең ауылда мәктәп берәү генә.,There is just one school in our village.
2608,Берәү ишек туҡылдата.,Someone is knocking at the door.
2609,Үрге урамда берәү әсе итеп һыҙғырып ебәрҙе.,Somebody in the upper street gave an ear-splitting whistle.
2610,Һалдат кейемендәге 2 йәш егет мылтыҡ тотоп һәйкәл янына һаҡҡа баҫты.,"Two young guys in soldier uniform, rifles in hand, stood guard at the monument."
2611,Башҡорт телендә баҫым күпселек осраҡтарҙа аҙаҡҡы ижеккә төшә.,"In the Bashkir language, the stress in most cases falls on the last syllable."
2612,Ҡәрҙәш ҡала.,Sister/twin city.
2613,Ҡәрҙәш тел.,Related language.
2614,"Ғалимдар аңлатыуынса, баш бармаҡ айырым торһа, эш йә һуғыш ҡоралын ҡыҫып тотоу уңайлыраҡ.","As scientists explain, if the thumb is located separately, it is more convenient to tightly hold a war weapon or an instrument of labor."
2615,Йәйге селләлә ҡатын-ҡыҙ өсөн иң уңайлы кейем — йоҡа туҡыманан тегелгән күлдәк.,"In the summer heat, the most convenient clothing for a female is a dress sewn from a thin fabric."
2616,"Суфыйсылыҡ мосолман донъяһының рухиәтенә, ғилеменә, фәлсәфәһенә үә әҙәбиәтенә киң йоғонто яһаған.","Sufism has asserted a wide influence on the spirituality, science, philosophy and literature of the Muslim world."
2617,"Урта быуат яҙма сығанаҡтарына таянып, ғалим урындағы суфыйсылыҡ традицияһын өйрәнә.","Drawing on medieval written sources, the scholar explores the local tradition of Sufism."
2618,Һалдат егет янсығын сығарып тәмәке төрҙө.,The young soldier took out his pouch and hand-rolled a cigarette.
2619,Эскән кешенең теле аҡса янсығынан да тиҙ сиселә.,A drunk mans tongue gets loose even faster than a money pouch (=wallet) opens.
2620, Уртаҡ үҙгәреүсәнде йәйә тышына сығарып күсереп яҙайыҡ.,Let us rewrite (the expression) by taking the common variable outside of the brackets.
2621,Йөҙ ауырыуҙан дауа.,A cure for one hundred diseases.
2622,"Ныҡ ҡына ауырып китеп, дауаханала ике аҙна ятып сыҡтым.",I became very ill and spent two weeks in the hospital.
2623,Автобус хәрәкәте.,Bus traffic.
2626,Эске эштәр министрылығы.,Ministry of internal affairs.
2627,Башҡортостан Республикаһы мәҙәниәт министры итеп билдәле йырсы Асҡар Абдразаҡов тәғәйенләнде.,The renowned singer Askar Abdrazakov is appointed Minister of culture of the Republic of Bashkortostan.
2628,"Баланы нисек бар, шулай яратығыҙ.",Love the child the way (he/she) is.
2629,"Тормошто нисек бар, шулай ҡабул итергә тырышығыҙ.",Try to accept life the way it is.
2630,Исрафил (ғәләйһи-ссәләм) фәрештә Сурға өргәндән һуң бөтә йәндәр ҙә үлә.,"After Angel Israfil (peace be upon him) blows the Sur, all living beings will die."
2631,Исрафил (ғәләйһи-ссәләм) фәрештә Сурға өргәндән һуң бөтә йәндәр ҙә үлә.,"After Angel Israfil (peace be upon him) blows the Sur (~trumpet), all living beings will die."
2632,"Муса ғәләйһи-ссәләмдең көтөүендә 15 меңләгән һарыҡ булған. Кис һанаһа, бер бәрәс тулмай икән.","There were some 15 thousand sheep in Musas herd, peace be upon him. When he counted (the sheep once) in the evening, he found out that one lamb was missing."
2633,Сит ил граждандары.,Foreign citizens.
2634,"Йәғни башҡорт, урыҫ һәм тағы ла бер сит ил телен белгән кешенең фекерләү һәләте көслөрәк була.","In other words, a person who knows Bashkir, Russian and yet another foreign language has a stronger ability to reason."
2635,"Йәғни башҡорт, урыҫ һәм тағы ла бер сит ил телен белгән кешенең фекерләү һәләте көслөрәк була.","In other words, a person who knows Bashkir, Russian and yet another foreign language has a stronger ability to reason."
2636,Минән хат көт.,Wait for a letter from me.
2638,Оҙаҡ көтөргә тура килде.,Somebody (subjected omitted) had to wait long.
2639,"Көтөү көнө буйы тау итәгендә йөрөнө, кисен ауылға төштө.","The herd spent the whole day on a mountain foot, and in the evening it went down to the village."
2640,"Муса ғәләйһи-ссәләмдең көтөүендә 15 меңләгән һарыҡ булған. Кис һанаһа, бер бәрәс тулмай икән.","There were some 15 thousand sheep in Musas herd (peace be upon him). When he counted (the sheep once) in the evening, he found out that one lamb was missing."
2641,"Урта быуаттарҙа башҡорт әҙәбиәтенә ғәрәп, фарсы, һинд, һуңыраҡ төрөк әҙәбиәтенән күп кенә сюжеттар үтеп инә.","In the Middle Ages, many plots from Arab, Persian, Indian, later Turkish literature penetrate the Bashkir literature."
2642,Үткәнен белмәгәндең киләсәге юҡ.,"Who does not know (his/her) past, does not have future."
2643,Үткән ғүмер — аҡҡан һыу.,Past life is (like) water that has flowed (away).
2644,"Зөбәржәт ҡарсыҡ уҫал булды, килененә көн бирмәне.",The old Zubarjat was evil (and) made life impossible for her daughter-in-law (=never left her daughter-in-law in peace)
2645,"Бөгөнгө көндә ҡул сәғәте ваҡытты ғына түгел, кешенең абруйын да күрһәтеп тора.","At present (=these days), a watch shows not only the time, but also the persons social status."
2646,Был матур йола бөгөнгө көнгә тиклем һаҡланып килә.,This beautiful tradition has continued up to the present day.
2647,Ырыуына күрә йолаһы.,"The rite depends on the clan (=each clan has its own rituals; [[when in Rome, do as the Romans do]])."
2648,Был матур йола бөгөнгө көнгә тиклем һаҡланып килә.,This beautiful tradition has continued up to the present day.
2649,"Йола буйынса, тәү һүҙҙе иң хөрмәтле ҡунаҡ тотто.","By tradition, the most honored guest first took the floor."
2650,Йола буйынса еҙнә булып килгән егет һәр балдыҙына бәке бирә.,"By tradition, the bridegroom gives a foldable knife to each of his future brothers-in-law."
2651,"Аҡмулла көндәре, йолаға ярашлы, Ҡаҙағстанда башланып, мәғрифәтсенең тыуған төйәгендә тамамлана.","By tradition, the Aqmulla days began in Kazakhstan and finished in the enlighteners home place (in Bashkortostan)."
2652,Ә һеҙ ни өсөн үҙегеҙҙең йолаларығыҙ хаҡына Алла әмерен боҙаһығыҙ? ― тип ҡаршы төштө Ғайса.,"Jesus replied, “And why do you break the command of God for the sake of your tradition?|q=Matthew 15:3"
2653,Китапты беренсенән бишенсе бүлеккә тиклем уҡыу.,To read the book from the first to the fifth chapter.
2654,"Беренсенән, Өфө алыҫ түгел, икенсенән, һеҙҙә тәбиғәт матур, ул ял индустрияһын үҫтереү өсөн мөмкинлек бирә.","Firstly, Ufa is not far, secondly, the nature is beautiful at your place, it creates an opportunity to develop the recreation industry."
2655,Ғәрәп һәм яңалиф яҙыуында сыҡҡан баҫмалар һирәк китаптар һәм ҡулъяҙмалар бүлегендә һаҡлына.,Publications in the Arabic and [[:w:Yañalif|Yañalif]] scripts are stored in the Section of rare books and manuscripts.
2656,Бүлектәрҙе сысҡандың уң төймәһе менән башлыҡтарына баҫып төҙәт.,Edit sections by pressing the right button of the mouse on their headers. (=Right-click  on a sections header to edit it).
2657,"Әгәр ҙә хәйер бирәһең икән, хәйерең йәшерен рәүештә бирелһен өсөн, һул ҡулың уң ҡулыңдың ни эшләгәнен белмәһен.","If you are giving alms, for your alms to be given in secret manner, dont let your left hand know what your right hand is doing.|q=Matthew 6:3-6:4"
2658,"Һеҙ хазинаны күктә йыйығыҙ: унда көйә лә ҡырҡмай, тут та баҫмай, ҡараҡтар ҙа инеп урламай.","Collect (your) treasure in the sky: there, moth does not corrupt, rust does not corrupt, and thieves do not enter and steal.|q=Matthew 6:19"
2659,Өлкән быуынға ҡарата ихтирам.,The respect for the old generation.
2660,Ихтыяр ирке.,Freedom of will.
2661,Һәр нәмә Уның ихтыяры менән эшләнә.,Everything is done at His (Gods) will.
2662,"Ысынбарлыҡҡа тап килгән, булып торған хәлдәрҙе оператив сағылдырған Интернет-сығанаҡтарға ихтыяж көндән-көн артасаҡ.","Day after day, the need will grow for Internet sources that correspond to reality (and) promptly represent occurring events."
2663,"Әгәр беренсе килешеүҙең етешһеҙлектәре булмаһа, икенсеһен төҙөүгә ихтыяж тыумаҫ ине.","If there were no disadvantages of the first covenant, the need would not have arisen for making the second one.|q=Hebrews 8:7"
2664,"Ваҡыты етмәһә, япраҡ та һабағынан өҙөлмәй.","If its time has not come, even a leaf will not come off from its stem."
2665,"Дуҫың яныңда булмаһа, донъяның йәме юҡ.",There is no beauty in the world if your friend is not next to you.
2666,Бал тәме — йәйҙең йәме.,The taste of honey is the summers cream.
2667,Йәйҙең иң ҡыҙыу мәле.,The busiest time of the summer.
2668,Иң ҡурҡынысы — үҫмер балаңдың кеҫәһендә шприц табыу.,The most frightening (thing) is to find a syringe in your teenager childs pocket.
2669,Өлкән быуынға ҡарата ихтирам.,The respect for the old generation.
2670,Рәсәйгә ҡарата индерелгән санкцияларҙың ыңғай яҡтары.,The positive sides of the sanctions introduced against Russia.
2671,60-сы йылдарҙың аҙағында йәш башҡорт яҙыусыларына ҡарата идеологик баҫым ысынлап та көсәйә төштө.,"At the end of the 1960s, the ideological pressure on young Bashkir writers has indeed intensified."
2672,Ә һеҙ ни өсөн үҙегеҙҙең йолаларығыҙ хаҡына Алла әмерен боҙаһығыҙ? ― тип ҡаршы төштө Ғайса.,"Jesus replied, “And why do you break the command of God for the sake of your tradition?|q=Matthew 15:3"
2673,Ә һеҙ ни өсөн үҙегеҙҙең йолаларығыҙ хаҡына Алла әмерен боҙаһығыҙ? ― тип ҡаршы төштө Ғайса.,"Jesus replied, “And why do you break the command of God for the sake of your tradition?|q=Matthew 15:3"
2674,"Миграция ағымына күҙ һалһаҡ, иң күп кеше Урта Азиянан, айырыуса Үзбәкстандан килә.","If we look at the migration flow, most people come from Central Asia, especially from Uzbekistan."
2675,Матбуғатта сығыш яһар өсөн теманы һайлап ала белеү йәш журналист өсөн бигерәк тә мөһим.,"For a young journalist, it is especially important to be able to select the topic on which to appear in the press."
2676,"Беҙ икәү айырылышһаҡ та, хистәрем һүнеп бөтмәгән.","Although we two have divorced, my feelings have not quite waned."
2677,"Яхъяның һүҙҙәрен ишетеп, Ғайса артынан эйәргән икәүҙең береһе Симон Петрҙың ҡустыһы Андрей ине.","One of the two who had heard Johns words and  followed Jesus, was Andrew, Simon Peter’s small brother.|q=John 1:40"
2678,"Сабан ат, яман ҡатын, ҡыйыш мылтыҡ — шул өсәү ир-егетте ҡартайталыр.","A lazy horse, an evil wife, (and) a crooked rifle — these three (things) make a man grow old.|q=Aqmulla"
2680,"Егет, тыңла һүҙемде. Асыҡ күрҙең йөҙөмдө, Айһылыу тигән атым бар.","Young man, listen to what I say. You have clearly seen my face, I have my name that is Ayhïlïw."
2681,Милләтһеҙ бала ҡамғаҡҡа тиң.,A child without ethnic roots is akin to tumbleweed.
2682,"Йоҡлаусылар төндә йоҡлай, эскеселәр төндә эсеп иҫерешә.","Those who sleep, sleep at night, (whereas) alcoholics drink and get drunk at night.|q=1 Thessalonians 5:7"
2683,"Йоҡлаусылар төндә йоҡлай, эскеселәр төндә эсеп иҫерешә.","Those who sleep, sleep at night, (whereas) alcoholics drink and get drunk at night.|q=1 Thessalonians 5:7"
2684,Гөлдәр хуш еҫ тарата.,Flowers spread a pleasant odor.
2685,Таратыусы алтышар кәрт тарата.,The dealer deals six cards (to each player).
2686,Гөлдәр хуш еҫ тарата.,Flowers spread a pleasant odor.
2687,"Айдахо штатының ҡушаматы — ""аҫыл таш штат"".","The nickname of the state of Idaho is ""Gem State""."
2688,"Айдахо штатының ҡушаматы — ""аҫыл таш штат"".","The nickname of the state of Idaho is ""Gem State""."
2689,90-сы йылдарҙа Көнбайыштан килеп тулған арзан тауарҙар был тармаҡты ауыр хәлгә ҡуйҙы.,"In the 1990s, cheap goods that have come from the West (and) flooded (the market) put this industry into a difficult position."
2690,Беҙ совет осоронда был хәл тик Көнбайыш өсөн генә хас тип уйлай торғайныҡ.,"In the Soviet times, we used to think that this phenomenon was characteristic only of the West."
2691,Ышаныслы дуҫ.,A reliable friend.
2692,"Әгәр беренсе килешеүҙең етешһеҙлектәре булмаһа, икенсеһен төҙөүгә ихтыяж тыумаҫ ине.","If there were no disadvantages of the first covenant, the need would not have arisen for making the second one.|q=Hebrews 8:7"
2693,Ит менән картуфты бергә бөтөнләй ашамағыҙ.,Do not eat together meat and potato at all.
2694,Фән эшмәкәре.,"A man of science, academic figure (=a scientist)."
2695,Дәүләт эшмәкәре.,"Statesman, politician."
2696,Мәҙәниәт эшмәкәре.,Worker of culture.
2697,Килем һалымы.,Income tax.
2698,Һалым түләүсе.,Taxpayer.
2699,Һалымдарҙы ваҡытында түләгеҙ.,Pay taxes in time.
2700,Һәр кеше солоғона үҙенең тамғаһын һалған.,Every person put his/her mark of ownership on his/her log hive.
2701,Уртаса күрһәткес.,The average value.
2702,Ысыҡ төшкән көйөнсә бесән сабыу еңел.,It is easy to cut hay while (the grass is wet) with dew.
2703,Йылы көйөнсә көнөнә өс-биш тапҡыр эсегеҙ.,Drink (it) warm (=in warm state) three to five times a day.
